Entity,Code,Year,Same sex marriage and civil unions legal
Andorra,AND,2005,Some rights to same-sex couples
Andorra,AND,2006,Some rights to same-sex couples
Andorra,AND,2007,Some rights to same-sex couples
Andorra,AND,2008,Some rights to same-sex couples
Andorra,AND,2009,Some rights to same-sex couples
Andorra,AND,2010,Some rights to same-sex couples
Andorra,AND,2011,Some rights to same-sex couples
Andorra,AND,2012,Some rights to same-sex couples
Andorra,AND,2013,Some rights to same-sex couples
Andorra,AND,2014,Some rights to same-sex couples
Andorra,AND,2015,Some rights to same-sex couples
Andorra,AND,2016,Some rights to same-sex couples
Andorra,AND,2017,Some rights to same-sex couples
Andorra,AND,2018,Some rights to same-sex couples
Andorra,AND,2019,Some rights to same-sex couples
Andorra,AND,2020,Some rights to same-sex couples
Argentina,ARG,2010,Same-sex marriage legal
Argentina,ARG,2011,Same-sex marriage legal
Argentina,ARG,2012,Same-sex marriage legal
Argentina,ARG,2013,Same-sex marriage legal
Argentina,ARG,2014,Same-sex marriage legal
Argentina,ARG,2015,Same-sex marriage legal
Argentina,ARG,2016,Same-sex marriage legal
Argentina,ARG,2017,Same-sex marriage legal
Argentina,ARG,2018,Same-sex marriage legal
Argentina,ARG,2019,Same-sex marriage legal
Argentina,ARG,2020,Same-sex marriage legal
Australia,AUS,2017,Same-sex marriage legal
Australia,AUS,2018,Same-sex marriage legal
Australia,AUS,2019,Same-sex marriage legal
Australia,AUS,2020,Same-sex marriage legal
Austria,AUT,2019,Same-sex marriage legal
Austria,AUT,2020,Same-sex marriage legal
Belgium,BEL,2003,Same-sex marriage legal
Belgium,BEL,2004,Same-sex marriage legal
Belgium,BEL,2005,Same-sex marriage legal
Belgium,BEL,2006,Same-sex marriage legal
Belgium,BEL,2007,Same-sex marriage legal
Belgium,BEL,2008,Same-sex marriage legal
Belgium,BEL,2009,Same-sex marriage legal
Belgium,BEL,2010,Same-sex marriage legal
Belgium,BEL,2011,Same-sex marriage legal
Belgium,BEL,2012,Same-sex marriage legal
Belgium,BEL,2013,Same-sex marriage legal
Belgium,BEL,2014,Same-sex marriage legal
Belgium,BEL,2015,Same-sex marriage legal
Belgium,BEL,2016,Same-sex marriage legal
Belgium,BEL,2017,Same-sex marriage legal
Belgium,BEL,2018,Same-sex marriage legal
Belgium,BEL,2019,Same-sex marriage legal
Belgium,BEL,2020,Same-sex marriage legal
Brazil,BRA,2013,Same-sex marriage legal
Brazil,BRA,2014,Same-sex marriage legal
Brazil,BRA,2015,Same-sex marriage legal
Brazil,BRA,2016,Same-sex marriage legal
Brazil,BRA,2017,Same-sex marriage legal
Brazil,BRA,2018,Same-sex marriage legal
Brazil,BRA,2019,Same-sex marriage legal
Brazil,BRA,2020,Same-sex marriage legal
Canada,CAN,2005,Same-sex marriage legal
Canada,CAN,2006,Same-sex marriage legal
Canada,CAN,2007,Same-sex marriage legal
Canada,CAN,2008,Same-sex marriage legal
Canada,CAN,2009,Same-sex marriage legal
Canada,CAN,2010,Same-sex marriage legal
Canada,CAN,2011,Same-sex marriage legal
Canada,CAN,2012,Same-sex marriage legal
Canada,CAN,2013,Same-sex marriage legal
Canada,CAN,2014,Same-sex marriage legal
Canada,CAN,2015,Same-sex marriage legal
Canada,CAN,2016,Same-sex marriage legal
Canada,CAN,2017,Same-sex marriage legal
Canada,CAN,2018,Same-sex marriage legal
Canada,CAN,2019,Same-sex marriage legal
Canada,CAN,2020,Same-sex marriage legal
Chile,CHL,2015,Some rights to same-sex couples
Chile,CHL,2016,Some rights to same-sex couples
Chile,CHL,2017,Some rights to same-sex couples
Chile,CHL,2018,Some rights to same-sex couples
Chile,CHL,2019,Some rights to same-sex couples
Chile,CHL,2020,Some rights to same-sex couples
Colombia,COL,2016,Same-sex marriage legal
Colombia,COL,2017,Same-sex marriage legal
Colombia,COL,2018,Same-sex marriage legal
Colombia,COL,2019,Same-sex marriage legal
Colombia,COL,2020,Same-sex marriage legal
Costa Rica,CRI,2020,Same-sex marriage legal
Croatia,HRV,2014,Some rights to same-sex couples
Croatia,HRV,2015,Some rights to same-sex couples
Croatia,HRV,2016,Some rights to same-sex couples
Croatia,HRV,2017,Some rights to same-sex couples
Croatia,HRV,2018,Some rights to same-sex couples
Croatia,HRV,2019,Some rights to same-sex couples
Croatia,HRV,2020,Some rights to same-sex couples
Cyprus,CYP,2015,Some rights to same-sex couples
Cyprus,CYP,2016,Some rights to same-sex couples
Cyprus,CYP,2017,Some rights to same-sex couples
Cyprus,CYP,2018,Some rights to same-sex couples
Cyprus,CYP,2019,Some rights to same-sex couples
Cyprus,CYP,2020,Some rights to same-sex couples
Czechia,CZE,2006,Some rights to same-sex couples
Czechia,CZE,2007,Some rights to same-sex couples
Czechia,CZE,2008,Some rights to same-sex couples
Czechia,CZE,2009,Some rights to same-sex couples
Czechia,CZE,2010,Some rights to same-sex couples
Czechia,CZE,2011,Some rights to same-sex couples
Czechia,CZE,2012,Some rights to same-sex couples
Czechia,CZE,2013,Some rights to same-sex couples
Czechia,CZE,2014,Some rights to same-sex couples
Czechia,CZE,2015,Some rights to same-sex couples
Czechia,CZE,2016,Some rights to same-sex couples
Czechia,CZE,2017,Some rights to same-sex couples
Czechia,CZE,2018,Some rights to same-sex couples
Czechia,CZE,2019,Some rights to same-sex couples
Czechia,CZE,2020,Some rights to same-sex couples
Denmark,DNK,2012,Same-sex marriage legal
Denmark,DNK,2013,Same-sex marriage legal
Denmark,DNK,2014,Same-sex marriage legal
Denmark,DNK,2015,Same-sex marriage legal
Denmark,DNK,2016,Same-sex marriage legal
Denmark,DNK,2017,Same-sex marriage legal
Denmark,DNK,2018,Same-sex marriage legal
Denmark,DNK,2019,Same-sex marriage legal
Denmark,DNK,2020,Same-sex marriage legal
Ecuador,ECU,2019,Same-sex marriage legal
Ecuador,ECU,2020,Same-sex marriage legal
Estonia,EST,2016,Some rights to same-sex couples
Estonia,EST,2017,Some rights to same-sex couples
Estonia,EST,2018,Some rights to same-sex couples
Estonia,EST,2019,Some rights to same-sex couples
Estonia,EST,2020,Some rights to same-sex couples
Finland,FIN,2015,Same-sex marriage legal
Finland,FIN,2016,Same-sex marriage legal
Finland,FIN,2017,Same-sex marriage legal
Finland,FIN,2018,Same-sex marriage legal
Finland,FIN,2019,Same-sex marriage legal
Finland,FIN,2020,Same-sex marriage legal
France,FRA,2013,Same-sex marriage legal
France,FRA,2014,Same-sex marriage legal
France,FRA,2015,Same-sex marriage legal
France,FRA,2016,Same-sex marriage legal
France,FRA,2017,Same-sex marriage legal
France,FRA,2018,Same-sex marriage legal
France,FRA,2019,Same-sex marriage legal
France,FRA,2020,Same-sex marriage legal
Germany,DEU,2017,Same-sex marriage legal
Germany,DEU,2018,Same-sex marriage legal
Germany,DEU,2019,Same-sex marriage legal
Germany,DEU,2020,Same-sex marriage legal
Greece,GRC,2015,Some rights to same-sex couples
Greece,GRC,2016,Some rights to same-sex couples
Greece,GRC,2017,Some rights to same-sex couples
Greece,GRC,2018,Some rights to same-sex couples
Greece,GRC,2019,Some rights to same-sex couples
Greece,GRC,2020,Some rights to same-sex couples
Greenland,GRL,2015,Same-sex marriage legal
Greenland,GRL,2016,Same-sex marriage legal
Greenland,GRL,2017,Same-sex marriage legal
Greenland,GRL,2018,Same-sex marriage legal
Greenland,GRL,2019,Same-sex marriage legal
Greenland,GRL,2020,Same-sex marriage legal
Hungary,HUN,2007,Some rights to same-sex couples
Hungary,HUN,2008,Some rights to same-sex couples
Hungary,HUN,2009,Some rights to same-sex couples
Hungary,HUN,2010,Some rights to same-sex couples
Hungary,HUN,2011,Some rights to same-sex couples
Hungary,HUN,2012,Some rights to same-sex couples
Hungary,HUN,2013,Some rights to same-sex couples
Hungary,HUN,2014,Some rights to same-sex couples
Hungary,HUN,2015,Some rights to same-sex couples
Hungary,HUN,2016,Some rights to same-sex couples
Hungary,HUN,2017,Some rights to same-sex couples
Hungary,HUN,2018,Some rights to same-sex couples
Hungary,HUN,2019,Some rights to same-sex couples
Hungary,HUN,2020,Some rights to same-sex couples
