Country or region,Value,Overall rank,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year,Deaths - Cause: All causes - Risk: Outdoor air pollution - OWID - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Alcohol use - Sex: Both - Age: All Ages (Number),Deaths - Cocaine use disorders - Sex: Both - Age: All Ages (Number),Deaths - Opioid use disorders - Sex: Both - Age: All Ages (Number),Deaths - Amphetamine use disorders - Sex: Both - Age: All Ages (Number),Internet Users,Population,Percentage,Latitude,Longitude,tavg,tmin,tmax,wdir,wspd,pres,"Crude marriage rate (per 1,000 inhabitants)","Crude divorce rate (per 1,000 inhabitants)",gpi21,wakeupTime,Deaths_Drugs
Finland,Yes,1.0,7.769,1.34,1.587,0.986,0.596,0.153,0.393,2019.0,415.0,2634.0,12.0,219.0,17.0,4831170.0,5523231.0,87.47,60.173323999999994,24.941025,7.352893982808022,4.238338108882521,10.389506880733945,201.307249712313,15.171420356526738,1012.3530189764232,4.8,2.4000001,1.402,7.44,248.0
Denmark,Yes,2.0,7.6,1.383,1.573,0.996,0.592,0.252,0.41,2019.0,1475.0,3524.0,8.0,146.0,12.0,5567278.0,5733551.0,97.1,55.676097,12.568337,10.321334100057504,7.463088404133181,13.111270845313399,202.0506329113924,16.55681426106958,1014.2737629459149,5.5,2.5999999,1.256,7.19,166.0
Norway,Yes,3.0,7.554,1.488,1.582,1.028,0.603,0.271,0.341,2019.0,454.0,1263.0,9.0,185.0,11.0,5120225.0,5305383.0,96.51,59.913869,10.752245,8.104240687679082,4.511232091690545,12.210773638968481,139.94852515905148,10.13,1011.8986206896552,4.4,2.0,1.438,7.43,205.0
Iceland,Yes,4.0,7.494,1.38,1.624,1.026,0.591,0.354,0.118,2019.0,19.0,71.0,1.0,10.0,1.0,329196.0,335025.0,98.26,64.126521,-21.817439,5.449111747851004,2.7296275071633236,8.376962750716332,150.15149700598803,18.011974668969486,1005.1107378524296,5.242737919429688,2.013469366820821,1.1,7.41,12.0
Netherlands,Yes,5.0,7.488,1.396,1.522,0.999,0.557,0.322,0.298,2019.0,4998.0,7565.0,9.0,128.0,10.0,15877494.0,17035938.0,93.2,52.370216,4.895168000000001,11.17919540229885,7.638103448275862,14.662528735632183,187.8971264367816,17.39258620689655,1015.4638505747128,3.8,1.9,1.506,7.47,147.0
Switzerland,Yes,6.0,7.48,1.452,1.526,1.052,0.572,0.263,0.343,2019.0,1621.0,3938.0,11.0,156.0,11.0,7942864.0,8476005.0,93.71,37.004981158465625,19.47946251676573,19.670792015403872,15.365180105191119,24.04573009882217,180.7541144527282,12.104199034056732,1013.7374787602914,4.8,1.9,1.323,7.13,178.0
Sweden,Yes,7.0,7.343,1.387,1.487,1.009,0.574,0.267,0.373,2019.0,757.0,4340.0,22.0,345.0,36.0,9554907.0,9910701.0,96.41,59.329323,18.068581,8.201384881708021,4.244036697247707,11.695011467889907,201.0796568627451,12.152421307506053,1012.3773802654357,5.2,2.4000001,1.46,7.21,403.0
New Zealand,Yes,8.0,7.307,1.303,1.557,1.026,0.585,0.33,0.38,2019.0,333.0,1352.0,1.0,29.0,3.0,4273353.0,4705818.0,90.81,-41.28646,174.776236,13.955733944954128,11.372962112514351,16.619908204245554,150.2458165031737,24.88136180034622,1014.5932004689332,4.3,1.981402820349727,1.253,7.11,33.0
Canada,Yes,9.0,7.278,1.365,1.505,1.039,0.584,0.285,0.308,2019.0,4393.0,13622.0,325.0,1867.0,146.0,33950632.0,36624199.0,92.7,45.42153,-75.697193,7.3067621776504295,2.227679083094556,12.389226361031518,203.554272517321,12.124798619102418,1015.8306004618938,4.622847526240306,1.9976199310677154,1.33,7.33,2338.0
Austria,Yes,10.0,7.246,1.376,1.475,1.016,0.532,0.244,0.226,2019.0,2668.0,4944.0,4.0,111.0,5.0,7681957.0,8735453.0,87.94,48.208174,16.373819,13.872378223495701,10.626204128440365,17.382521489971346,226.08115942028985,12.103275862068966,1017.1052295177224,5.1,1.8,1.317,7.2,120.0
